billing	card_id	codex_exit	model	usd
subscription	6a6bbebb-1b04d771	0	gpt-5.6-sol	0.0
subscription	6a6bbf04-7c891a89	0	gpt-5.6-sol	0.0
subscription	6a6bbf0a-6c7e219c	0	gpt-5.6-sol	0.0
subscription	6a6bc3c8-75144de0	0	gpt-5.6-terra	0.0
subscription	6a6bc3dd-5494006b	2	019fb4f4-8cd7-7e03-a1a6-fcc1a9067114	0.0
subscription	6a6bc429-e883c3ea	0	resumed-session	0.0
subscription	6a6bcc58-d84c86af	0	gpt-5.6-luna	0.0
subscription	6a6bcc62-137a75be	0	gpt-5.6-luna	0.0
subscription	6a6bcc75-af98e3b0	0	gpt-5.6-luna	0.0
subscription	6a6bcca0-f3eb5f84	124	gpt-5.6-luna	0.0
subscription	6a6bd160-a00cde0b	0	gpt-5.6-luna	0.0
subscription	6a6bd17a-869b155e	124	gpt-5.6-luna	0.0
subscription	6a6bdc45-58ab0f5f	0	gpt-5.6-terra	0.0
subscription	6a6bdd5c-3d845dd7	0	gpt-5.6-terra	0.0
subscription	6a6be0d3-c3846ceb	0	gpt-5.6-sol	0.0
subscription	6a6be186-062dc44d	0	gpt-5.6-terra	0.0
subscription	6a6be18f-b648c6fd	0	gpt-5.6-terra	0.0
subscription	6a6be1b6-a1c60998	0	gpt-5.6-terra	0.0
subscription	6a6be1c8-bae2e12c	0	gpt-5.6-terra	0.0
subscription	6a6be34d-3269129b	0	gpt-5.6-sol	0.0
subscription	6a6bf0cf-d1266401	0	gpt-5.6-terra	0.0
subscription	6a6bf9ce-33c77012	0	gpt-5.6-sol	0.0
subscription	6a6bfa0b-4b44ec5e		gpt-5.6-luna	0.0
subscription	6a6bfa18-fef6bc16	0	gpt-5.6-sol	0.0
subscription	6a6c0a26-a5cc2963	0	gpt-5.6-sol	0.0
subscription	6a6c0ab3-0195ac6d	0	gpt-5.6-terra	0.0
