model	step	usd
runpod:rtx-3090	pod-create boxfv5zbz5mp4i	0.125000
runpod:rtx-4090	pod-create qfxkoopsm6iryf	0.032532
runpod:rtx-4090	pod-create t5ocytsnzs9vsr	0.105300
runpod:rtx-4090	pod-create edwtg6lvaf5wap	0.745232
runpod:rtx-4090	pod-create of4ji9qcnswo5v	0.493706
runpod:rtx-4090	pod-create 6stvks3z8elf16	0.199572
runpod:rtx-4090	pod-create o84sgham1ajrqy	0.142570
runpod:rtx-4090	pod-create eczhwx3opyd5pt	0.005333
runpod:rtx-4090	pod-create hv9s4uygm1sg21	0.004000
runpod:rtx-4090	pod-create s7djeauvew2myd	0.013117
runpod:rtx-4090	pod-create rhwxump63ibno2	0.000840
runpod:rtx-4090	pod-create v9dha4wm4yosea	0.000586
runpod:rtx-4090	pod-create 35bo7pu3x8y7z9	0.000617
runpod:rtx-4090	pod-create 53okx5et00vjl3	0.000644
runpod:rtx-4090	pod-create k760lvdw3516to	0.103573
