card_id	inspector_id	pass	project	rubric_version	score	task_type	tier	ts	worker
6a5c8ad2-1d991c23	inspector@agents.local	True	atlas	inspector-v1	96	build router + fast lane + debug REPL	T2	2026-07-20T19:29:57.780470+00:00	worker-desktop
6a5c8ad2-df7abf53	inspector@agents.local	True	atlas	inspector-v1	96	build LiveKit worker + pairing smoke	T2	2026-07-20T19:29:57.782623+00:00	worker-desktop
6a5c8ad2-a1613d5a	inspector@agents.local	True	atlas	inspector-v1	96	wake-word gating + engagement window	T2	2026-07-20T20:48:04.942767+00:00	worker-desktop
6a5c8ad2-984e5ccf	inspector@agents.local	True	atlas	inspector-v1	96	latency harness + persona samples + V0 checkpoint	T2	2026-07-20T21:47:59.165524+00:00	worker-desktop
6a5ec41c-53ac36f7	inspector@agents.local	True	atlas	inspector-v1	95	dashboard atlas panel route (read-only)	T2	2026-07-21T01:17:29.405925+00:00	claude-boss@agents.local
6a5ec41c-b18aa9f1	inspector@agents.local	False	atlas	inspector-v1	93	tool-registry consolidation (no behavior change)	T2	2026-07-21T01:18:29.446382+00:00	claude/atlas
6a5ec41c-b18aa9f1	inspector@agents.local	True	atlas	inspector-v1	95	tool-registry consolidation (no behavior change)	T2	2026-07-21T01:24:37.428066+00:00	claude/atlas
6a5ec41c-f7d86587	inspector@agents.local	True	atlas	inspector-v1	96	worker state core + turn observation	T2	2026-07-21T01:26:37.987500+00:00	claude/atlas
6a5ec41c-d2e26925	inspector@agents.local	True	atlas	inspector-v1	97	worker HTTP /state surface on 127.0.0.1:4360	T2	2026-07-20T22:20:00Z	claude/atlas
6a5ec41c-caabe932	inspector@agents.local	True	atlas	inspector-v1	96	dashboard Atlas view + global mini-orb	T2	2026-07-21T01:34:53.501853+00:00	claude/atlas
6a5ec41c-216ad53f	inspector@agents.local	False	atlas	inspector-v1	92	transcript ledger on ops	T2	2026-07-21T01:51:55.234773+00:00	claude/atlas
6a5ec41c-216ad53f	inspector@agents.local	True	atlas	inspector-v1	96	transcript ledger on ops	T2	2026-07-21T01:57:14.829568+00:00	claude/atlas
6a5ec41c-d8332ebf	inspector@agents.local	True	atlas	inspector-v1	96	voice tools: file_card / launch_workflow / credit_remaining	T2	2026-07-21T03:50:30.523782+00:00	claude/atlas
