# Generated read-only from git ls-files at 39197cf5 on 2026-09-06. Method: System.IO.File.ReadAllLines(path).Count (blank lines included); kind identifies tests/fixtures before extensions; coverage is this audit lane only.
path	kind	subsystem	physicalLOC	coverage
dashboard/server/__fixtures__/registry-a/ledgers/grades/.gitkeep	test-fixture	dashboard-server/__fixtures__	0	inventoried
dashboard/server/__fixtures__/registry-a/orgs/demo/.claude/settings.json	test-fixture	dashboard-server/__fixtures__	10	inventoried
dashboard/server/__fixtures__/registry-a/skills/curated/alpha-skill/SKILL.md	test-fixture	dashboard-server/__fixtures__	8	inventoried
dashboard/server/__fixtures__/registry-a/skills/evolved/beta-skill/SKILL.md	test-fixture	dashboard-server/__fixtures__	8	inventoried
dashboard/server/__fixtures__/repo-a/ledgers/activity/.gitkeep	test-fixture	dashboard-server/__fixtures__	0	inventoried
dashboard/server/__fixtures__/repo-a/ledgers/cost/dispatcher-2026-07-16.tsv	test-fixture	dashboard-server/__fixtures__	4	inventoried
dashboard/server/__fixtures__/repo-a/ledgers/dispatch/dispatcher-2026-07-16.tsv	test-fixture	dashboard-server/__fixtures__	3	inventoried
dashboard/server/__fixtures__/repo-a/ledgers/grades/.gitkeep	test-fixture	dashboard-server/__fixtures__	0	inventoried
dashboard/server/__fixtures__/repo-a/orgs/demo/HEARTBEAT.md	test-fixture	dashboard-server/__fixtures__	8	inventoried
dashboard/server/__fixtures__/repo-a/orgs/demo/STATE.md	test-fixture	dashboard-server/__fixtures__	12	inventoried
dashboard/server/__fixtures__/repo-a/queue/approvals/card-approvals.md	test-fixture	dashboard-server/__fixtures__	27	inventoried
dashboard/server/__fixtures__/repo-a/queue/approvals/card-approved.md	test-fixture	dashboard-server/__fixtures__	27	inventoried
dashboard/server/__fixtures__/repo-a/queue/done/card-done.md	test-fixture	dashboard-server/__fixtures__	27	inventoried
dashboard/server/__fixtures__/repo-a/queue/done/card-rejected.md	test-fixture	dashboard-server/__fixtures__	27	inventoried
dashboard/server/__fixtures__/repo-a/queue/inbox/card-blocked.md	test-fixture	dashboard-server/__fixtures__	27	inventoried
dashboard/server/__fixtures__/repo-a/queue/inbox/card-inbox.md	test-fixture	dashboard-server/__fixtures__	27	inventoried
dashboard/server/__fixtures__/repo-a/queue/working/card-working.md	test-fixture	dashboard-server/__fixtures__	27	inventoried
dashboard/server/agents/API-NOTES.md	asset-config-doc	dashboard-server/agents	12	inventoried
dashboard/server/agents/assignable.ts	production-source	dashboard-server/agents	26	inventoried
dashboard/server/agents/roster.test.ts	test-fixture	dashboard-server/agents	715	inventoried
dashboard/server/agents/roster.ts	production-source	dashboard-server/agents	803	inventoried
dashboard/server/agents/routes.test.ts	test-fixture	dashboard-server/agents	220	inventoried
dashboard/server/agents/routes.ts	production-source	dashboard-server/agents	334	traced
dashboard/server/api/v1/_nodeHarness.ts	production-source	dashboard-server/api	123	inventoried
dashboard/server/api/v1/agents.test.ts	test-fixture	dashboard-server/api	77	inventoried
dashboard/server/api/v1/assetPulls.test.ts	test-fixture	dashboard-server/api	40	inventoried
dashboard/server/api/v1/contracts.test.ts	test-fixture	dashboard-server/api	142	inventoried
dashboard/server/api/v1/contracts.ts	production-source	dashboard-server/api	252	inventoried
dashboard/server/api/v1/cursor.test.ts	test-fixture	dashboard-server/api	49	inventoried
dashboard/server/api/v1/cursor.ts	production-source	dashboard-server/api	99	inventoried
dashboard/server/api/v1/deployments.test.ts	test-fixture	dashboard-server/api	50	inventoried
dashboard/server/api/v1/envelope.test.ts	test-fixture	dashboard-server/api	43	inventoried
dashboard/server/api/v1/envelope.ts	production-source	dashboard-server/api	68	inventoried
dashboard/server/api/v1/health.test.ts	test-fixture	dashboard-server/api	68	inventoried
dashboard/server/api/v1/hosts.test.ts	test-fixture	dashboard-server/api	65	inventoried
dashboard/server/api/v1/humanResponse.test.ts	test-fixture	dashboard-server/api	48	inventoried
dashboard/server/api/v1/idempotency.test.ts	test-fixture	dashboard-server/api	71	inventoried
dashboard/server/api/v1/idempotency.ts	production-source	dashboard-server/api	123	inventoried
dashboard/server/api/v1/inbox.test.ts	test-fixture	dashboard-server/api	37	inventoried
dashboard/server/api/v1/leases.test.ts	test-fixture	dashboard-server/api	85	inventoried
dashboard/server/api/v1/reports.test.ts	test-fixture	dashboard-server/api	69	inventoried
dashboard/server/api/v1/routes.test.ts	test-fixture	dashboard-server/api	425	inventoried
dashboard/server/api/v1/routes.ts	production-source	dashboard-server/api	743	inventoried
dashboard/server/api/v1/runEvents.test.ts	test-fixture	dashboard-server/api	52	inventoried
dashboard/server/api/v1/runLaunch.test.ts	test-fixture	dashboard-server/api	106	inventoried
dashboard/server/api/v1/runs.test.ts	test-fixture	dashboard-server/api	103	inventoried
dashboard/server/api/v1/schedules.test.ts	test-fixture	dashboard-server/api	69	inventoried
dashboard/server/api/v1/workflows.test.ts	test-fixture	dashboard-server/api	59	inventoried
dashboard/server/approvals/assurance.test.ts	test-fixture	dashboard-server/approvals	54	inventoried
dashboard/server/approvals/assurance.ts	production-source	dashboard-server/approvals	48	inventoried
dashboard/server/approvals/cardActions.test.ts	test-fixture	dashboard-server/approvals	14	inventoried
dashboard/server/approvals/cardActions.ts	production-source	dashboard-server/approvals	3	inventoried
dashboard/server/approvals/cardVerifier.test.ts	test-fixture	dashboard-server/approvals	137	inventoried
dashboard/server/approvals/cardVerifier.ts	production-source	dashboard-server/approvals	156	inventoried
dashboard/server/approvals/routes.ts	production-source	dashboard-server/approvals	96	inventoried
dashboard/server/atomicRename.test.ts	test-fixture	dashboard-server/root	166	inventoried
dashboard/server/atomicRename.ts	production-source	dashboard-server/root	62	inventoried
dashboard/server/audit/attribution.test.ts	test-fixture	dashboard-server/audit	74	inventoried
dashboard/server/audit/log.test.ts	test-fixture	dashboard-server/audit	341	inventoried
dashboard/server/audit/log.ts	production-source	dashboard-server/audit	247	inventoried
dashboard/server/auth/browserSessionRef.test.ts	test-fixture	dashboard-server/auth	224	inventoried
dashboard/server/auth/browserSessionRef.ts	production-source	dashboard-server/auth	203	inventoried
dashboard/server/auth/challenge.test.ts	test-fixture	dashboard-server/auth	158	inventoried
dashboard/server/auth/challenge.ts	production-source	dashboard-server/auth	147	inventoried
dashboard/server/auth/credentialStore.test.ts	test-fixture	dashboard-server/auth	47	inventoried
dashboard/server/auth/credentialStore.ts	production-source	dashboard-server/auth	143	inventoried
dashboard/server/auth/hostNodeMap.test.ts	test-fixture	dashboard-server/auth	104	inventoried
dashboard/server/auth/hostNodeMap.ts	production-source	dashboard-server/auth	87	inventoried
dashboard/server/auth/hostNodeMapContracts.test.ts	test-fixture	dashboard-server/auth	44	inventoried
dashboard/server/auth/hostNodeMapContracts.ts	production-source	dashboard-server/auth	94	inventoried
dashboard/server/auth/mode.test.ts	test-fixture	dashboard-server/auth	205	inventoried
dashboard/server/auth/mode.ts	production-source	dashboard-server/auth	260	inventoried
dashboard/server/auth/nodeIdentity.test.ts	test-fixture	dashboard-server/auth	167	inventoried
dashboard/server/auth/nodeIdentity.ts	production-source	dashboard-server/auth	128	inventoried
